id,line,time,source,dest,type
WR_0795,WR,04:29 AM,NallaSopara,Borivali,AC SLOW
WR_0796,WR,04:32 AM,Borivali,Churchgate,AC SLOW
WR_0797,WR,04:55 AM,NallaSopara,Churchgate,AC SLOW
WR_0798,WR,05:50 AM,Virar,Churchgate,AC SEMI
WR_0799,WR,06:36 AM,Borivali,Churchgate,AC SEMI
WR_0800,WR,06:55 AM,Borivali,Churchgate,AC SEMI
WR_0801,WR,07:15 AM,Virar,Churchgate,AC SEMI
WR_0802,WR,07:56 AM,Virar,Churchgate,AC SEMI
WR_0803,WR,08:26 AM,Borivali,Churchgate,AC SEMI
WR_0804,WR,08:33 AM,Virar,Churchgate,AC SLOW
WR_0805,WR,09:09 AM,Virar,Churchgate,AC SEMI
WR_0806,WR,09:23 AM,Virar,Borivali,AC SEMI
WR_0807,WR,10:16 AM,Borivali,Churchgate,AC SEMI
WR_0808,WR,10:20 AM,Virar,Churchgate,AC SEMI
WR_0809,WR,10:52 AM,Virar,Churchgate,AC SEMI
WR_0810,WR,11:35 AM,Borivali,Churchgate,AC SLOW
WR_0811,WR,11:54 AM,Bhayandar,Churchgate,AC SEMI
WR_0812,WR,12:20 PM,Virar,Churchgate,AC SEMI
WR_0813,WR,12:48 PM,Virar,Churchgate,AC SEMI
WR_0814,WR,01:18 PM,Virar,Churchgate,AC SEMI
WR_0815,WR,01:55 PM,Borivali,Churchgate,AC SLOW
WR_0816,WR,02:06 PM,Virar,Churchgate,AC SEMI
WR_0817,WR,03:00 PM,Virar,Borivali,AC SLOW
WR_0818,WR,03:27 PM,Virar,Churchgate,AC SEMI
WR_0819,WR,03:32 PM,Bhayandar,Churchgate,AC SEMI
WR_0820,WR,04:18 PM,Borivali,Churchgate,AC SEMI
WR_0821,WR,04:20 PM,Virar,Churchgate,AC SEMI
WR_0822,WR,04:35 PM,Virar,Churchgate,AC SEMI
WR_0823,WR,05:02 PM,Virar,Churchgate,AC SEMI
WR_0824,WR,06:08 PM,Borivali,Churchgate,AC FAST
WR_0825,WR,06:20 PM,Virar,Dadar,AC SEMI
WR_0826,WR,06:30 PM,Virar,Churchgate,AC SEMI
WR_0827,WR,06:52 PM,Borivali,Churchgate,AC FAST
WR_0828,WR,07:23 PM,Bhayandar,Churchgate,AC SEMI
WR_0829,WR,08:07 PM,Virar,Dadar,AC SEMI
WR_0830,WR,08:36 PM,Bhayandar,Churchgate,AC SEMI
WR_0831,WR,08:41 PM,Vasai Road,Churchgate,AC SEMI
WR_0832,WR,09:16 PM,Virar,Churchgate,AC SEMI
WR_0833,WR,09:28 PM,Virar,Churchgate,AC SEMI
WR_0834,WR,10:44 PM,Virar,Andheri,AC SLOW
WR_0835,WR,04:56 AM,Borivali,Virar,AC SLOW
WR_0836,WR,05:45 AM,Churchgate,Borivali,AC SLOW
WR_0837,WR,05:46 AM,Mahalakshmi,Borivali,AC SEMI
WR_0838,WR,06:35 AM,Churchgate,Borivali,AC SLOW
WR_0839,WR,07:05 AM,Mahalakshmi,Virar,AC SLOW
WR_0840,WR,07:18 AM,Churchgate,Borivali,AC SLOW
WR_0841,WR,07:27 AM,Bhayandar,Virar,AC FAST
WR_0842,WR,07:36 AM,Churchgate,Virar,AC SEMI
WR_0843,WR,07:54 AM,Churchgate,Virar,AC SEMI
WR_0844,WR,08:46 AM,Churchgate,Borivali,AC FAST
WR_0845,WR,08:53 AM,Churchgate,Virar,AC SEMI
WR_0846,WR,09:19 AM,Churchgate,Virar,AC SEMI
WR_0847,WR,09:24 AM,Churchgate,Borivali,AC FAST
WR_0848,WR,10:24 AM,Churchgate,Borivali,AC SLOW
WR_0849,WR,10:32 AM,Churchgate,Borivali,AC FAST
WR_0850,WR,10:36 AM,Churchgate,Bhayandar,AC SEMI
WR_0851,WR,10:53 AM,Churchgate,Virar,AC SEMI
WR_0852,WR,11:15 AM,Churchgate,Virar,AC SEMI
WR_0853,WR,11:48 AM,Churchgate,Virar,AC SEMI
WR_0854,WR,12:29 PM,Churchgate,Virar,AC SEMI
WR_0855,WR,12:45 PM,Churchgate,Kandivli,AC SLOW
WR_0856,WR,01:45 PM,Churchgate,Virar,AC SEMI
WR_0857,WR,02:15 PM,Churchgate,Bhayandar,AC SEMI
WR_0858,WR,02:53 PM,Churchgate,Virar,AC SEMI
WR_0859,WR,03:05 PM,Churchgate,Borivali,AC SLOW
WR_0860,WR,03:07 PM,Churchgate,Virar,AC SEMI
WR_0861,WR,03:26 PM,Churchgate,Virar,AC SLOW
WR_0862,WR,03:44 PM,Borivali,Virar,AC SLOW
WR_0863,WR,04:39 PM,Churchgate,Virar,AC SEMI
WR_0864,WR,05:03 PM,Churchgate,Virar,AC SEMI
WR_0865,WR,05:15 PM,Churchgate,Borivali,AC SEMI
WR_0866,WR,05:50 PM,Churchgate,Borivali,AC SEMI
WR_0867,WR,06:06 PM,Churchgate,Bhayandar,AC SEMI
WR_0868,WR,06:22 PM,Churchgate,Virar,AC SEMI
WR_0869,WR,06:28 PM,Churchgate,Virar,AC SEMI
WR_0870,WR,07:00 PM,Churchgate,Vasai Road,AC SEMI
WR_0871,WR,07:38 PM,Dadar,Bhayandar,AC SEMI
WR_0872,WR,07:43 PM,Churchgate,Virar,AC SLOW
WR_0873,WR,07:58 PM,Churchgate,Virar,AC SEMI
WR_0874,WR,08:27 PM,Churchgate,NallaSopara,AC SEMI
WR_0875,WR,09:19 PM,Dadar,Virar,AC SEMI
WR_0876,WR,09:23 PM,Churchgate,Bhayandar,AC SLOW
WR_0877,WR,09:51 PM,Churchgate,Malad,AC SEMI
WR_0878,WR,09:57 PM,Churchgate,Virar,AC SEMI
WR_0879,WR,11:19 PM,Borivali,Virar,AC SLOW
WR_0880,WR,11:55 PM,Andheri,Bhayandar,AC SEMI
