id,line,time,source,dest,type
CR_0086,CR,4:12 am,Mumbai CSMT,Kasara,SLOW
CR_0087,CR,4:25 am,Mumbai CSMT,Khopoli,SLOW
CR_0088,CR,4:50 am,Mumbai CSMT,Karjat,SLOW
CR_0089,CR,5:02 am,Mumbai CSMT,Kasara,SLOW
CR_0090,CR,5:14 am,Mumbai CSMT,Asangaon,SLOW
CR_0091,CR,5:22 am,Mumbai CSMT,Karjat,SLOW
CR_0092,CR,5:26 am,Mumbai CSMT,Ambernath,SLOW
CR_0093,CR,5:30 am,Mumbai CSMT,Titwala,SLOW
CR_0094,CR,5:48 am,Mumbai CSMT,Ambernath,SLOW
CR_0095,CR,5:56 am,Mumbai CSMT,Titwala,SLOW
CR_0096,CR,6:04 am,Mumbai CSMT,Kalyan,SLOW
CR_0097,CR,6:06 am,Mumbai CSMT,Kalyan,FAST
CR_0098,CR,6:08 am,Mumbai CSMT,Asangaon,SLOW
CR_0099,CR,6:10 am,Mumbai CSMT,Karjat,FAST
CR_0100,CR,6:16 am,Mumbai CSMT,Ambernath,SLOW
CR_0101,CR,6:24 am,Mumbai CSMT,Kalyan,SLOW
CR_0102,CR,6:27 am,Mumbai CSMT,Badlapur,FAST
CR_0103,CR,6:32 am,Mumbai CSMT,Titwala,SLOW
CR_0104,CR,6:50 am,Mumbai CSMT,Karjat,FAST
CR_0105,CR,6:52 am,Mumbai CSMT,Ambernath,SLOW
CR_0106,CR,6:55 am,Mumbai CSMT,Kasara,FAST
CR_0107,CR,6:56 am,Mumbai CSMT,Titwala,SLOW
CR_0108,CR,7:00 am,Mumbai CSMT,Kalyan,SLOW
CR_0109,CR,7:05 am,Mumbai CSMT,Ambernath,FAST
CR_0110,CR,7:18 am,Mumbai CSMT,Asangaon,MEDIUM
CR_0111,CR,7:24 am,Mumbai CSMT,Kalyan,SLOW
CR_0112,CR,7:25 am,Mumbai CSMT,Badlapur,FAST
CR_0113,CR,7:29 am,Mumbai CSMT,Kalyan,FAST
CR_0114,CR,7:32 am,Mumbai CSMT,Kalyan,SLOW
CR_0115,CR,7:40 am,Mumbai CSMT,Asangaon,SLOW
CR_0116,CR,7:53 am,Mumbai CSMT,Khopoli,FAST
CR_0117,CR,7:57 am,Mumbai CSMT,Badlapur,FAST
CR_0118,CR,8:00 am,Mumbai CSMT,Kalyan,SLOW
CR_0119,CR,8:04 am,Mumbai CSMT,Kalyan,SLOW
CR_0120,CR,8:16 am,Mumbai CSMT,Kalyan,SLOW
CR_0121,CR,8:25 am,Mumbai CSMT,Kalyan,FAST
CR_0122,CR,8:29 am,Mumbai CSMT,Karjat,FAST
CR_0123,CR,8:36 am,Mumbai CSMT,Kasara,FAST
CR_0124,CR,8:37 am,Mumbai CSMT,Kalyan,SLOW
CR_0125,CR,8:50 am,Mumbai CSMT,Badlapur,FAST
CR_0126,CR,8:51 am,Mumbai CSMT,Kalyan,SLOW
CR_0127,CR,8:53 am,Mumbai CSMT,Ambernath,FAST
CR_0128,CR,9:00 am,Mumbai CSMT,Kalyan,MEDIUM
CR_0129,CR,9:08 am,Mumbai CSMT,Karjat,FAST
CR_0130,CR,9:12 am,Mumbai CSMT,Titwala,FAST
CR_0131,CR,9:15 am,Mumbai CSMT,Badlapur,FAST
CR_0132,CR,9:18 am,Mumbai CSMT,Titwala,MEDIUM
CR_0133,CR,9:22 am,Mumbai CSMT,Ambernath,FAST
CR_0134,CR,9:26 am,Mumbai CSMT,Asangaon,FAST
CR_0135,CR,9:30 am,Mumbai CSMT,Badlapur,FAST
CR_0136,CR,9:31 am,Mumbai CSMT,Kalyan,SLOW
CR_0137,CR,9:34 am,Mumbai CSMT,Titwala,MEDIUM
CR_0138,CR,9:37 am,Mumbai CSMT,Karjat,FAST
CR_0139,CR,9:41 am,Mumbai CSMT,Kasara,FAST
CR_0140,CR,9:43 am,Mumbai CSMT,Titwala,SLOW
CR_0141,CR,9:44 am,Mumbai CSMT,Badlapur,FAST
CR_0142,CR,9:53 am,Mumbai CSMT,Ambernath,FAST
CR_0143,CR,9:59 am,Mumbai CSMT,Ambernath,SLOW
CR_0144,CR,10:01 am,Mumbai CSMT,Kalyan,MEDIUM
CR_0145,CR,10:08 am,Mumbai CSMT,Badlapur,FAST
CR_0146,CR,10:11 am,Mumbai CSMT,Kalyan,SLOW
CR_0147,CR,10:12 am,Mumbai CSMT,Ambernath,FAST
CR_0148,CR,10:16 am,Mumbai CSMT,Kalyan,MEDIUM
CR_0149,CR,10:20 am,Mumbai CSMT,Kasara,FAST
CR_0150,CR,10:28 am,Mumbai CSMT,Badlapur,FAST
CR_0151,CR,10:37 am,Mumbai CSMT,Karjat,FAST
CR_0152,CR,10:40 am,Mumbai CSMT,Titwala,MEDIUM
CR_0153,CR,10:48 am,Mumbai CSMT,Badlapur,FAST
CR_0154,CR,10:53 am,Mumbai CSMT,Ambernath,FAST
CR_0155,CR,10:57 am,Mumbai CSMT,Titwala,MEDIUM
CR_0156,CR,11:00 am,Mumbai CSMT,Kalyan,SLOW
CR_0157,CR,11:08 am,Mumbai CSMT,Titwala,SLOW
CR_0158,CR,11:12 am,Mumbai CSMT,Kalyan,SLOW
CR_0159,CR,11:15 am,Mumbai CSMT,Karjat,FAST
CR_0160,CR,11:22 am,Mumbai CSMT,Ambernath,FAST
CR_0161,CR,11:33 am,Mumbai CSMT,Titwala,SLOW
CR_0162,CR,11:34 am,Mumbai CSMT,Kasara,MEDIUM
CR_0163,CR,11:43 am,Mumbai CSMT,Kalyan,MEDIUM
CR_0164,CR,11:46 am,Mumbai CSMT,Ambernath,SLOW
CR_0165,CR,11:50 am,Mumbai CSMT,Badlapur,FAST
CR_0166,CR,11:50 am,Mumbai CSMT,Kalyan,SLOW
CR_0167,CR,12:00 pm,Mumbai CSMT,Titwala,SLOW
CR_0168,CR,12:04 pm,Mumbai CSMT,Ambernath,SLOW
CR_0169,CR,12:08 pm,Mumbai CSMT,Kalyan,SLOW
CR_0170,CR,12:19 pm,Mumbai CSMT,Kalyan,SLOW
CR_0171,CR,12:22 pm,Mumbai CSMT,Khopoli,FAST
CR_0172,CR,12:27 pm,Mumbai CSMT,Kalyan,SLOW
CR_0173,CR,12:28 pm,Mumbai CSMT,Kasara,MEDIUM
CR_0174,CR,12:31 pm,Mumbai CSMT,Kalyan,SLOW
CR_0175,CR,12:35 pm,Mumbai CSMT,Ambernath,SLOW
CR_0176,CR,12:43 pm,Mumbai CSMT,Titwala,SLOW
CR_0177,CR,12:55 pm,Mumbai CSMT,Kalyan,FAST
CR_0178,CR,12:55 pm,Mumbai CSMT,Ambernath,SLOW
CR_0179,CR,12:59 pm,Mumbai CSMT,Kalyan,SLOW
CR_0180,CR,1:03 pm,Mumbai CSMT,Kalyan,SLOW
